sez,cod_prov,cod_com,cogn,d_nasc,l_nasc,pos,tot_vot_lis,descr_lista,voti
9,41,340,SALVEMINI,19660604000000,LECCE,4,191,SVEGLIA,15
9,41,340,SALVEMINI,19660604000000,LECCE,4,191,MOVIMENTO 5 STELLE,14
9,41,340,SALVEMINI,19660604000000,LECCE,4,191,AVANTI LECCE,14
9,41,340,SALVEMINI,19660604000000,LECCE,4,191,NOI PER LECCE,7
9,41,340,SALVEMINI,19660604000000,LECCE,4,191,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,7
9,41,340,SICULELLA,19851203000000,NARDO',3,7,MIND MENTI INDIPENDENTI,6
9,41,340,SICULELLA,19851203000000,NARDO',3,7,ARIA,1
9,41,340,CIUCCI,19650716000000,NAPOLI,1,6,DIRITTI E CIVILTA' PER LECCE,6
10,41,340,POLI IN BORTONE,19430825000000,LECCE,2,233,IO SUD,68
10,41,340,POLI IN BORTONE,19430825000000,LECCE,2,233,FRATELLI D'ITALIA,50
10,41,340,POLI IN BORTONE,19430825000000,LECCE,2,233,PRIMA LECCE,37
10,41,340,POLI IN BORTONE,19430825000000,LECCE,2,233,LECCE FUTURA PALA,28
10,41,340,POLI IN BORTONE,19430825000000,LECCE,2,233,MOVIMENTO REGIONE SALENTO,17
10,41,340,POLI IN BORTONE,19430825000000,LECCE,2,233,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,16
10,41,340,POLI IN BORTONE,19430825000000,LECCE,2,233,FORZA ITALIA - PPE,8
10,41,340,POLI IN BORTONE,19430825000000,LECCE,2,233,TUTTA LECCE LISI,8
10,41,340,POLI IN BORTONE,19430825000000,LECCE,2,233,LEGA SALVINI PUGLIA,1
10,41,340,POLI IN BORTONE,19430825000000,LECCE,2,233,VOCE NAZIONALE,0
10,41,340,SALVEMINI,19660604000000,LECCE,4,190,PARTITO DEMOCRATICO,38
10,41,340,SALVEMINI,19660604000000,LECCE,4,190,AVANTI LECCE,36
10,41,340,SALVEMINI,19660604000000,LECCE,4,190,LECCE CITTA' PUBBLICA,32
10,41,340,SALVEMINI,19660604000000,LECCE,4,190,COSCIENZA CIVICA,21
10,41,340,SALVEMINI,19660604000000,LECCE,4,190,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,18
10,41,340,SALVEMINI,19660604000000,LECCE,4,190,NOI PER LECCE,15
10,41,340,SALVEMINI,19660604000000,LECCE,4,190,SVEGLIA,13
10,41,340,SALVEMINI,19660604000000,LECCE,4,190,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,12
10,41,340,SALVEMINI,19660604000000,LECCE,4,190,MOVIMENTO 5 STELLE,5
10,41,340,CIUCCI,19650716000000,NAPOLI,1,5,DIRITTI E CIVILTA' PER LECCE,5
10,41,340,SICULELLA,19851203000000,NARDO',3,5,MIND MENTI INDIPENDENTI,3
10,41,340,SICULELLA,19851203000000,NARDO',3,5,ARIA,2
11,41,340,POLI IN BORTONE,19430825000000,LECCE,2,236,FRATELLI D'ITALIA,56
11,41,340,POLI IN BORTONE,19430825000000,LECCE,2,236,IO SUD,38
11,41,340,POLI IN BORTONE,19430825000000,LECCE,2,236,PRIMA LECCE,26
11,41,340,POLI IN BORTONE,19430825000000,LECCE,2,236,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,25
11,41,340,POLI IN BORTONE,19430825000000,LECCE,2,236,FORZA ITALIA - PPE,25
11,41,340,POLI IN BORTONE,19430825000000,LECCE,2,236,MOVIMENTO REGIONE SALENTO,19
11,41,340,POLI IN BORTONE,19430825000000,LECCE,2,236,LECCE FUTURA PALA,19
11,41,340,POLI IN BORTONE,19430825000000,LECCE,2,236,TUTTA LECCE LISI,16
11,41,340,POLI IN BORTONE,19430825000000,LECCE,2,236,LEGA SALVINI PUGLIA,11
11,41,340,POLI IN BORTONE,19430825000000,LECCE,2,236,VOCE NAZIONALE,1
11,41,340,SALVEMINI,19660604000000,LECCE,4,194,PARTITO DEMOCRATICO,51
11,41,340,SALVEMINI,19660604000000,LECCE,4,194,LECCE CITTA' PUBBLICA,42
11,41,340,SALVEMINI,19660604000000,LECCE,4,194,COSCIENZA CIVICA,36
11,41,340,SALVEMINI,19660604000000,LECCE,4,194,SVEGLIA,13
11,41,340,SALVEMINI,19660604000000,LECCE,4,194,MOVIMENTO 5 STELLE,13
