comune,ref,numero_comuni,comuni_capoluogo,comuni_sup_15000,comuni_inf_15000,comuni_rinnovo_motivi_diversi,comuni_sciolti_rinnovo,popolazione_2021,sezioni_2023,elettori_2023,CODICE ISTAT
ZUBIENA,04_table_02,1.0,,,inf,,,1117,2,1021,096082
ALBA,04_table_03,1.0,,SUP,,,,31095,31,25513,004003
ALBARETTO DELLA TORRE,05_table_01,1.0,,,inf,,,221,1,189,004004
ARGUELLO,05_table_01,1.0,,,inf,,,199,1,157,004007
BAGNASCO,05_table_01,1.0,,,inf,,,973,1,1059,004008
BALDISSERO D'ALBA,05_table_01,1.0,,,inf,,,1048,1,863,004010
BAROLO,05_table_01,1.0,,,inf,,,660,1,509,004013
BATTIFOLLO,05_table_01,1.0,,,inf,,,211,1,176,004015
BEINETTE,05_table_01,1.0,,,inf,,,3441,3,2571,004016
BELLINO,05_table_01,1.0,,,inf,,,95,1,89,004017
BELVEDERE LANGHE,05_table_01,1.0,,,inf,,,337,1,276,004018
BERNEZZO,05_table_01,1.0,,,inf,,,4219,4,3434,004022
BONVICINO,05_table_01,1.0,,,inf,,,100,1,112,004023
BORGOMALE,05_table_01,1.0,,,inf,,,386,1,307,004024
BOSIA,05_table_01,1.0,,,inf,,,170,1,147,004026
BOSSOLASCO,05_table_01,1.0,,,inf,,,639,1,596,004027
BOVES,05_table_01,1.0,,,inf,,,9641,9,8373,004028
BRA,05_table_01,1.0,,SUP,,,,29536,27,24015,004029
BRIAGLIA,05_table_01,1.0,,,inf,,,305,1,318,004030
BRONDELLO,05_table_01,1.0,,,inf,,,261,1,261,004032
BUSCA,05_table_01,1.0,,,inf,,,10127,11,7811,004034
CAMERANA,05_table_01,1.0,,,inf,,,575,1,470,004035
CANALE,05_table_01,1.0,,,inf,,,5514,5,4618,004037
CANOSIO,05_table_01,1.0,,,inf,,,79,1,86,004038
CARAGLIO,05_table_01,1.0,,,inf,,,6755,5,5863,004040
CARDE',05_table_01,1.0,,,inf,,,1143,1,906,004042
CARTIGNANO,05_table_01,1.0,,,inf,,,175,1,133,004044
CASTAGNITO,05_table_01,1.0,,,inf,,,2184,3,1634,004046
CASTELLETTO STURA,05_table_01,1.0,,,inf,,,1349,1,1046,004049
CASTELLETTO UZZONE,05_table_01,1.0,,,inf,,,310,1,244,004050
CASTELLINALDO D'ALBA,05_table_01,1.0,,,inf,,,915,1,698,004051
CASTELLINO TANARO,05_table_01,1.0,,,inf,,,281,1,226,004052
CASTIGLIONE FALLETTO,05_table_01,1.0,,,inf,,,690,1,523,004055
CASTINO,05_table_01,1.0,,,inf,,,458,1,338,004057
